concepto,monto_mm_clp_2023,naturaleza,fuente,url
"Pago CAE: recompra y recarga",449788,"Flujo pagado publicado","Fundación SOL, CAE 2024, Cuadro 3, p. 24",https://fundacionsol.cl/cl_luzit_herramientas/static/adjuntos/7512/CAE2024_rev.pdf
"Gratuidad: universidades",1109745.425,"Presupuesto autorizado","Ley de Presupuestos 2023, Partida 09, Capítulo 90, Programa 03, asignación 198",https://www.dipres.gob.cl/597/articles-299172_doc_pdf.pdf
"Gratuidad: IP y CFT",518587.974,"Presupuesto autorizado","Ley de Presupuestos 2023, Partida 09, Capítulo 90, Programa 03, asignación 199",https://www.dipres.gob.cl/597/articles-299172_doc_pdf.pdf
